date,side,entry_dt,exit_dt,entry,exit,sl,target,pnl,tag,bars_held
2019-04-03,short,2019-04-03 09:15:00,2019-04-18 15:25:00,11644.75,11752.8,11886.07,11282.76,-118.05,time,10
2019-11-01,short,2019-11-01 09:15:00,2019-11-18 15:25:00,11855.1,11884.5,12159.47,11398.55,-39.4,time,10
2020-11-20,short,2020-11-20 09:15:00,2020-11-25 15:25:00,12745.75,13130.0,13096.0,12220.38,-394.25,sl,3
2021-02-10,short,2021-02-10 09:15:00,2021-02-24 15:25:00,15064.3,14982.0,15568.12,14308.57,72.3,time,10
2021-09-21,short,2021-09-21 09:15:00,2021-09-23 15:25:00,17361.8,17675.85,17675.85,16890.73,-324.04,sl,2
2022-04-07,short,2022-04-07 09:15:00,2022-04-19 15:25:00,17723.3,16895.12,18275.42,16895.12,818.18,tgt,6
2023-07-24,short,2023-07-24 09:15:00,2023-08-07 15:25:00,19700.0,19597.3,20022.67,19215.99,92.7,time,10
2023-09-20,short,2023-09-20 09:15:00,2023-09-27 15:25:00,19980.75,19556.53,20263.56,19556.53,414.22,tgt,5
2024-09-25,short,2024-09-25 09:15:00,2024-10-03 15:25:00,25886.85,25249.46,26311.77,25249.46,627.39,tgt,5
2025-04-25,short,2025-04-25 09:15:00,2025-05-12 15:25:00,24216.15,24865.13,24865.13,23242.68,-658.98,sl,10
2025-09-23,short,2025-09-23 09:15:00,2025-09-26 15:25:00,25151.05,24642.58,25490.03,24642.58,498.47,tgt,3
2026-04-24,short,2026-04-24 09:15:00,2026-05-11 15:25:00,24100.55,23815.85,24883.45,22926.2,274.7,time,10
