date,side,entry_dt,entry,sl,target,exit_dt,exit,exit_reason,bars_held,pnl
2015-04-17,short,2015-04-17T15:25:00+05:30,8606.0,8699.8,,2015-05-04T15:25:00+05:30,8332.0,cover,10,274.0
2015-06-02,short,2015-06-02T15:25:00+05:30,8236.5,8445.3,,2015-06-10T15:25:00+05:30,8124.5,cover,6,112.0
2015-08-20,short,2015-08-20T15:25:00+05:30,8372.8,8501.3,,2015-08-27T15:25:00+05:30,7949.0,cover,5,423.8
2015-09-22,short,2015-09-22T15:25:00+05:30,7812.0,8021.6,,2015-09-30T15:25:00+05:30,7948.9,cover,5,-136.9
2015-12-03,short,2015-12-03T15:25:00+05:30,7864.1,7912.3,,2015-12-15T15:25:00+05:30,7700.9,cover,8,163.2
2015-12-18,short,2015-12-18T15:25:00+05:30,7762.0,7836.1,,2015-12-23T15:25:00+05:30,7866.0,cover,3,-104.0
2016-01-05,short,2016-01-05T15:25:00+05:30,7784.6,7831.2,,2016-01-22T15:25:00+05:30,7422.5,cover,13,362.2
2016-02-02,short,2016-02-02T15:25:00+05:30,7455.5,7576.3,,2016-02-05T15:25:00+05:30,7489.1,cover,3,-33.6
2016-02-08,short,2016-02-08T15:25:00+05:30,7387.2,7512.5,,2016-02-15T15:25:00+05:30,7163.0,cover,5,224.3
2016-10-26,short,2016-10-26T15:25:00+05:30,8615.2,8657.3,,2016-10-28T15:25:00+05:30,8638.0,cover,2,-22.8
2016-12-19,short,2016-12-19T15:25:00+05:30,8104.4,8132.5,,2016-12-27T15:25:00+05:30,8032.9,cover,6,71.5
2018-03-15,short,2018-03-15T15:25:00+05:30,10360.2,10420.0,,2018-03-26T15:25:00+05:30,10130.7,cover,7,229.5
2018-04-04,short,2018-04-04T15:25:00+05:30,10128.4,10279.8,,2018-04-05T15:25:00+05:30,10325.2,cover,1,-196.8
2018-06-27,short,2018-06-27T15:25:00+05:30,10671.4,10785.5,,2018-06-29T15:25:00+05:30,10714.3,cover,2,-42.9
2018-12-10,short,2018-12-10T15:25:00+05:30,10488.5,10558.8,,2018-12-12T15:25:00+05:30,10737.6,cover,2,-249.1
2019-02-27,short,2019-02-27T15:25:00+05:30,10806.7,10939.7,,2019-03-05T15:25:00+05:30,10987.5,cover,3,-180.8
2019-08-29,short,2019-08-29T15:25:00+05:30,10948.3,11021.1,,2019-08-30T15:25:00+05:30,11023.2,cover,1,-75.0
2019-09-03,short,2019-09-03T15:25:00+05:30,10797.9,10967.5,,2019-09-06T15:25:00+05:30,10946.2,cover,3,-148.3
2019-09-17,short,2019-09-17T15:25:00+05:30,10817.6,11000.1,,2019-09-20T15:25:00+05:30,11274.2,cover,3,-456.6
