date,side,entry_dt,entry,exit_dt,exit,sl,target,pnl,bars_held,entry_wait_min,exit_wait_min,mae,mfe,exit_reason
2023-01-05,short,2023-01-05 03:45:00,18022.6,2023-01-09 03:45:00,18046.6,,,-24.0,15,0,840,-61.8,226.45,Target
2023-01-09,long,2023-01-09 05:45:00,18131.4,2023-01-10 06:45:00,17927.25,,,-204.15,9,0,480,-252.45,9.6,Target
2023-01-12,short,2023-01-12 04:45:00,17825.35,2023-01-13 06:45:00,17944.8,,,-119.45,10,0,540,-139.7,63.1,Target
2023-01-13,long,2023-01-13 07:45:00,17975.4,2023-01-20 07:45:00,18069.45,,,94.05,36,0,2100,-121.25,207.8,Target
2023-01-20,short,2023-01-20 08:45:00,18032.6,2023-01-23 03:45:00,18144.65,,,-112.05,3,0,120,-129.1,15.15,Target
2023-01-24,long,2023-01-24 03:45:00,18183.95,2023-01-25 03:45:00,18079.15,,,-104.8,8,0,420,-244.45,0.0,Target
2023-01-25,short,2023-01-25 04:45:00,17939.5,2023-01-31 03:45:00,17731.45,,,208.05,21,0,1200,-7.35,533.2,Target
2023-02-01,long,2023-02-01 03:45:00,17811.6,2023-02-01 08:45:00,17576.3,,,-235.3,6,0,300,-457.8,159.9,Target
2023-02-08,long,2023-02-08 03:45:00,17869.85,2023-02-13 03:45:00,17801.15,,,-68.7,22,0,1260,-133.75,45.7,Target
2023-02-13,short,2023-02-13 06:45:00,17736.1,2023-02-14 05:45:00,17879.8,,,-143.7,7,0,360,-166.2,0.0,Target
2023-02-14,long,2023-02-14 06:45:00,17915.55,2023-02-17 06:45:00,17928.95,,,13.4,22,0,1260,-61.65,218.45,Target
2023-02-20,short,2023-02-20 06:45:00,17885.95,2023-03-01 05:45:00,17440.2,,,445.75,49,0,2880,-38.45,630.05,Target
2023-03-03,long,2023-03-03 03:45:00,17467.5,2023-03-09 07:45:00,17644.85,,,177.35,26,0,1500,0.0,330.85,Target
2023-03-09,short,2023-03-09 09:45:00,17586.4,2023-03-17 03:45:00,17111.8,,,474.6,37,0,2160,0.0,736.0,Target
2023-03-20,short,2023-03-20 06:45:00,16850.4,2023-03-21 06:45:00,17085.75,,,-235.35,8,0,420,-249.85,7.6,Target
2023-03-22,long,2023-03-22 03:45:00,17177.45,2023-03-23 03:45:00,17065.55,,,-111.9,8,0,420,-131.35,0.0,Target
2023-03-24,short,2023-03-24 03:45:00,17022.55,2023-03-29 07:45:00,17048.55,,,-26.0,26,0,1500,-75.4,108.35,Target
2023-03-29,long,2023-03-29 08:45:00,17090.75,2023-04-17 03:45:00,17729.7,,,638.95,59,0,3480,-3.6,772.25,Target
