date,side,entry_dt,exit_dt,entry,exit,pnl,tag
2023-01-27,long,2023-01-27 03:45:00,2023-01-27 04:40:00,17877.2,17699.41,-187.79,sl
2023-01-30,long,2023-01-30 03:45:00,2023-01-30 09:50:00,17541.95,17664.65,112.7,eod
2023-02-02,long,2023-02-02 03:45:00,2023-02-02 09:50:00,17517.1,17623.2,96.1,eod
2023-02-23,long,2023-02-23 03:45:00,2023-02-23 09:50:00,17574.65,17516.35,-68.3,eod
2023-03-10,long,2023-03-10 03:45:00,2023-03-10 09:50:00,17443.8,17422.55,-31.25,eod
2023-03-14,long,2023-03-14 03:45:00,2023-03-14 09:50:00,17160.55,17054.4,-116.15,eod
2023-03-16,long,2023-03-16 03:45:00,2023-03-16 09:50:00,16994.65,16993.75,-10.9,eod
2023-09-29,long,2023-09-29 03:45:00,2023-09-29 09:00:00,19581.2,19724.56,133.36,tgt
2023-10-25,long,2023-10-25 03:45:00,2023-10-25 07:10:00,19286.45,19159.87,-136.58,sl
2023-10-27,long,2023-10-27 03:45:00,2023-10-27 09:00:00,18928.75,19074.12,135.38,tgt
2023-12-21,long,2023-12-21 03:45:00,2023-12-21 06:55:00,21033.95,21208.01,164.06,tgt
2024-01-09,long,2024-01-09 03:45:00,2024-01-09 09:50:00,21653.6,21545.15,-118.45,eod
2024-01-24,long,2024-01-24 03:45:00,2024-01-24 04:30:00,21185.25,21396.05,200.8,tgt
2024-01-31,long,2024-01-31 03:45:00,2024-01-31 06:35:00,21487.25,21732.54,235.29,tgt
2024-02-09,long,2024-02-09 03:45:00,2024-02-09 09:50:00,21727.0,21780.85,43.85,eod
2024-02-22,long,2024-02-22 03:45:00,2024-02-22 09:50:00,22081.55,22237.15,145.6,eod
2024-02-29,long,2024-02-29 03:45:00,2024-02-29 09:50:00,21935.2,22042.7,97.5,eod
2024-03-14,long,2024-03-14 03:45:00,2024-03-14 06:30:00,21982.55,22182.47,189.92,tgt
2024-05-06,long,2024-05-06 03:45:00,2024-05-06 09:50:00,22561.6,22445.3,-126.3,eod
2024-05-10,long,2024-05-10 03:45:00,2024-05-10 09:50:00,21990.95,22060.4,59.45,eod
2024-06-05,long,2024-06-05 03:45:00,2024-06-05 03:50:00,22128.35,21798.14,-340.21,sl
2024-07-22,long,2024-07-22 03:45:00,2024-07-22 09:50:00,24445.75,24512.65,56.9,eod
2024-08-06,long,2024-08-06 03:45:00,2024-08-06 09:50:00,24189.85,24002.2,-197.65,eod
2024-10-01,long,2024-10-01 03:45:00,2024-10-01 09:50:00,25788.45,25802.8,4.35,eod
2024-10-08,long,2024-10-08 03:45:00,2024-10-08 09:50:00,24832.2,25029.15,186.95,eod
2024-10-18,long,2024-10-18 03:45:00,2024-10-18 09:50:00,24664.95,24875.15,200.2,eod
2024-10-23,long,2024-10-23 03:45:00,2024-10-23 09:50:00,24378.15,24424.6,36.45,eod
2024-11-05,long,2024-11-05 03:45:00,2024-11-05 08:55:00,23916.5,24198.76,272.26,tgt
2024-11-08,long,2024-11-08 03:45:00,2024-11-08 09:50:00,24207.7,24134.7,-83.0,eod
2024-11-13,long,2024-11-13 03:45:00,2024-11-13 09:30:00,23822.45,23524.22,-308.23,sl
2024-11-14,long,2024-11-14 03:45:00,2024-11-14 09:50:00,23542.15,23546.9,-5.25,eod
2024-11-29,long,2024-11-29 03:45:00,2024-11-29 09:50:00,23927.15,24121.2,184.05,eod
2024-12-18,long,2024-12-18 03:45:00,2024-12-18 09:50:00,24297.95,24212.55,-95.4,eod
2024-12-23,long,2024-12-23 03:45:00,2024-12-23 09:50:00,23738.2,23762.2,14.0,eod
2025-01-07,long,2025-01-07 03:45:00,2025-01-07 09:50:00,23679.9,23703.6,13.7,eod
2025-01-22,long,2025-01-22 03:45:00,2025-01-22 09:50:00,23099.15,23155.15,46.0,eod
2025-02-12,long,2025-02-12 03:45:00,2025-02-12 04:45:00,23050.8,22799.25,-261.55,sl
2025-03-03,long,2025-03-03 03:45:00,2025-03-03 09:50:00,22194.55,22126.25,-78.3,eod
2025-03-27,long,2025-03-27 03:45:00,2025-03-27 09:50:00,23433.95,23584.95,141.0,eod
2025-04-07,long,2025-04-07 03:45:00,2025-04-07 03:50:00,21758.4,22010.37,241.97,tgt
2025-04-28,long,2025-04-28 03:45:00,2025-04-28 09:50:00,24070.25,24322.45,242.2,eod
2025-05-09,long,2025-05-09 03:45:00,2025-05-09 09:50:00,23935.75,24022.05,76.3,eod
2025-05-14,long,2025-05-14 03:45:00,2025-05-14 09:50:00,24613.8,24677.6,53.8,eod
2025-05-21,long,2025-05-21 03:45:00,2025-05-21 09:50:00,24744.25,24797.45,43.2,eod
2025-06-04,long,2025-06-04 03:45:00,2025-06-04 09:50:00,24560.45,24607.15,36.7,eod
2025-06-13,long,2025-06-13 03:45:00,2025-06-13 06:30:00,24473.0,24694.04,211.04,tgt
2025-09-05,long,2025-09-05 03:45:00,2025-09-05 04:50:00,24818.85,24638.34,-190.51,sl
2026-01-09,long,2026-01-09 03:45:00,2026-01-09 07:05:00,25840.4,25688.57,-161.83,sl
2026-01-21,long,2026-01-21 03:45:00,2026-01-21 09:50:00,25141.0,25152.8,1.8,eod
2026-01-27,long,2026-01-27 03:45:00,2026-01-27 09:50:00,25063.35,25230.2,156.85,eod
2026-02-02,long,2026-02-02 03:45:00,2026-02-02 09:50:00,24796.5,25090.5,284.0,eod
2026-02-04,long,2026-02-04 03:45:00,2026-02-04 09:50:00,25675.05,25759.7,74.65,eod
2026-02-20,long,2026-02-20 03:45:00,2026-02-20 09:50:00,25406.55,25567.05,150.5,eod
2026-03-02,long,2026-03-02 03:45:00,2026-03-02 03:50:00,24659.25,24891.99,222.74,tgt
2026-03-12,long,2026-03-12 03:45:00,2026-03-12 09:50:00,23674.85,23635.6,-49.25,eod
2026-03-16,long,2026-03-16 03:45:00,2026-03-16 09:05:00,23116.1,23418.01,291.91,tgt
2026-03-24,long,2026-03-24 03:45:00,2026-03-24 09:50:00,22878.45,22931.35,42.9,eod
2026-03-30,long,2026-03-30 03:45:00,2026-03-30 09:50:00,22549.65,22377.45,-182.2,eod
2026-05-13,long,2026-05-13 03:45:00,2026-05-13 09:50:00,23362.45,23398.25,25.8,eod
