date,side,entry_dt,exit_dt,entry,exit,sl,target,pnl,tag,gap_pct
2023-01-05,short,2023-01-05 09:15:00+05:30,2023-01-05 09:20:00+05:30,18101.95,18062.75,18151.95,18069.4,29.2,tgt,0.36
2023-01-09,short,2023-01-09 09:15:00+05:30,2023-01-09 09:30:00+05:30,17952.55,18002.55,18002.55,17909.2,-60.0,sl,0.49
2023-01-16,short,2023-01-16 09:15:00+05:30,2023-01-16 09:20:00+05:30,18033.15,17991.83,18083.15,17991.83,31.33,tgt,0.46
2023-01-23,short,2023-01-23 09:15:00+05:30,2023-01-23 09:20:00+05:30,18118.45,18072.88,18168.45,18072.88,35.58,tgt,0.51
2023-01-24,short,2023-01-24 09:15:00+05:30,2023-01-24 10:05:00+05:30,18183.95,18144.45,18233.95,18144.45,29.5,tgt,0.44
2023-01-31,short,2023-01-31 09:15:00+05:30,2023-01-31 09:20:00+05:30,17731.45,17614.8,17781.45,17699.35,106.65,tgt,0.36
2023-02-01,short,2023-02-01 09:15:00+05:30,2023-02-01 09:30:00+05:30,17811.6,17747.07,17861.6,17747.07,54.53,tgt,0.73
2023-02-03,short,2023-02-03 09:15:00+05:30,2023-02-03 09:20:00+05:30,17721.75,17666.75,17771.75,17666.75,45.0,tgt,0.62
2023-02-14,short,2023-02-14 09:15:00+05:30,2023-02-14 09:45:00+05:30,17840.35,17802.45,17890.35,17802.45,27.9,tgt,0.43
2023-02-16,short,2023-02-16 09:15:00+05:30,2023-02-16 12:40:00+05:30,18094.75,18058.97,18144.75,18058.97,25.78,tgt,0.4
2023-02-24,short,2023-02-24 09:15:00+05:30,2023-02-24 09:30:00+05:30,17591.35,17557.57,17641.35,17557.57,23.78,tgt,0.39
2023-03-03,short,2023-03-03 09:15:00+05:30,2023-03-03 10:10:00+05:30,17451.25,17501.25,17501.25,17384.95,-60.0,sl,0.77
2023-03-06,short,2023-03-06 09:15:00+05:30,2023-03-06 09:20:00+05:30,17680.35,17730.35,17730.35,17636.32,-60.0,sl,0.5
2023-03-15,short,2023-03-15 09:15:00+05:30,2023-03-15 10:40:00+05:30,17166.45,17117.55,17216.45,17117.55,38.9,tgt,0.57
2023-03-17,short,2023-03-17 09:15:00+05:30,2023-03-17 09:55:00+05:30,17111.8,17060.97,17161.8,17060.97,40.83,tgt,0.6
2023-03-22,short,2023-03-22 09:15:00+05:30,2023-03-22 09:30:00+05:30,17177.45,17142.2,17227.45,17142.2,25.25,tgt,0.41
2023-03-28,short,2023-03-28 09:15:00+05:30,2023-03-28 09:40:00+05:30,17031.75,16997.6,17081.75,16997.6,24.15,tgt,0.4
2023-03-31,short,2023-03-31 09:15:00+05:30,2023-03-31 09:20:00+05:30,17210.35,17260.35,17260.35,17163.35,-60.0,sl,0.55
2023-04-03,short,2023-04-03 09:15:00+05:30,2023-04-03 09:20:00+05:30,17427.95,17377.4,17477.95,17393.12,40.55,tgt,0.4
2023-04-11,short,2023-04-11 09:15:00+05:30,2023-04-11 12:25:00+05:30,17704.8,17658.92,17754.8,17658.92,35.88,tgt,0.52
2023-04-18,short,2023-04-18 09:15:00+05:30,2023-04-18 09:20:00+05:30,17766.6,17735.35,17816.6,17735.35,21.25,tgt,0.35
2023-04-24,short,2023-04-24 09:15:00+05:30,2023-04-24 09:20:00+05:30,17707.55,17663.22,17757.55,17663.22,34.33,tgt,0.5
2023-05-02,short,2023-05-02 09:15:00+05:30,2023-05-02 10:05:00+05:30,18124.8,18174.8,18174.8,18086.85,-60.0,sl,0.42
2023-05-18,short,2023-05-18 09:15:00+05:30,2023-05-18 09:35:00+05:30,18287.5,18242.72,18337.5,18242.72,34.78,tgt,0.49
