date,side,entry_dt,entry,exit_dt,exit,sl,target,pnl,bars_held,exit_reason
2023-02-10,long,2023-02-10 11:20:00+05:30,17870.1,2023-02-10 15:25:00+05:30,17843.35,17808.7,,-26.75,50,EOD
2023-02-14,long,2023-02-14 11:05:00+05:30,17857.95,2023-02-14 15:25:00+05:30,17921.85,17802.1,,63.9,53,EOD
2023-02-15,long,2023-02-15 10:00:00+05:30,17900.3,2023-02-15 15:25:00+05:30,18023.2,17853.9,,122.9,66,EOD
2023-03-29,long,2023-03-29 09:50:00+05:30,17022.2,2023-03-29 11:05:00+05:30,16977.3,16977.3,,-44.9,16,SL
2023-03-31,long,2023-03-31 11:50:00+05:30,17289.1,2023-03-31 15:25:00+05:30,17358.3,17209.45,,69.2,44,EOD
2023-04-19,long,2023-04-19 12:00:00+05:30,17658.35,2023-04-19 13:40:00+05:30,17612.55,17612.55,,-45.8,21,SL
2023-04-24,long,2023-04-24 13:30:00+05:30,17707.55,2023-04-24 15:25:00+05:30,17748.0,17625.65,,40.45,24,EOD
2023-04-25,long,2023-04-25 10:30:00+05:30,17766.05,2023-04-25 15:25:00+05:30,17761.95,17717.3,,-4.1,60,EOD
2023-04-26,long,2023-04-26 10:30:00+05:30,17773.9,2023-04-26 15:25:00+05:30,17817.95,17727.7,,44.05,60,EOD
2023-04-27,long,2023-04-27 09:45:00+05:30,17837.65,2023-04-27 15:25:00+05:30,17923.2,17798.2,,85.55,69,EOD
2023-05-09,long,2023-05-09 09:45:00+05:30,18318.1,2023-05-09 13:30:00+05:30,18277.6,18277.6,,-40.5,46,SL
2023-05-12,long,2023-05-12 10:45:00+05:30,18273.75,2023-05-12 15:25:00+05:30,18312.2,18195.55,,38.45,57,EOD
2023-05-15,long,2023-05-15 09:45:00+05:30,18366.5,2023-05-15 15:25:00+05:30,18384.6,18291.5,,18.1,69,EOD
2023-06-05,long,2023-06-05 11:10:00+05:30,18635.05,2023-06-05 15:25:00+05:30,18599.9,18583.3,,-35.15,52,EOD
2023-06-07,long,2023-06-07 12:45:00+05:30,18675.4,2023-06-07 15:25:00+05:30,18730.35,18637.05,,54.95,33,EOD
2023-06-08,long,2023-06-08 09:45:00+05:30,18752.05,2023-06-08 11:45:00+05:30,18724.6,18724.6,,-27.45,25,SL
2023-06-12,long,2023-06-12 14:15:00+05:30,18622.95,2023-06-12 15:25:00+05:30,18614.9,18560.8,,-8.05,15,EOD
2023-06-13,long,2023-06-13 09:45:00+05:30,18698.05,2023-06-13 15:25:00+05:30,18718.65,18631.8,,20.6,69,EOD
2023-06-14,long,2023-06-14 12:15:00+05:30,18745.7,2023-06-14 15:25:00+05:30,18749.65,18690.6,,3.95,39,EOD
2023-06-15,long,2023-06-15 09:55:00+05:30,18774.45,2023-06-15 11:30:00+05:30,18722.25,18722.25,,-52.2,20,SL
2023-06-16,long,2023-06-16 09:45:00+05:30,18770.85,2023-06-16 15:25:00+05:30,18823.6,18712.7,,52.75,69,EOD
2023-06-20,long,2023-06-20 13:25:00+05:30,18758.65,2023-06-20 15:25:00+05:30,18833.7,18669.7,,75.05,25,EOD
2023-06-21,long,2023-06-21 09:45:00+05:30,18864.25,2023-06-21 11:05:00+05:30,18809.15,18809.15,,-55.1,17,SL
2023-06-22,long,2023-06-22 10:25:00+05:30,18881.45,2023-06-22 11:25:00+05:30,18833.35,18833.35,,-48.1,13,SL
2023-06-27,long,2023-06-27 14:00:00+05:30,18762.95,2023-06-27 15:25:00+05:30,18818.6,18731.45,,55.65,18,EOD
2023-06-28,long,2023-06-28 10:30:00+05:30,18908.15,2023-06-28 15:25:00+05:30,18991.9,18861.45,,83.75,60,EOD
2023-07-11,long,2023-07-11 09:45:00+05:30,19470.05,2023-07-11 15:25:00+05:30,19448.15,19406.45,,-21.9,69,EOD
2023-07-13,long,2023-07-13 09:45:00+05:30,19524.4,2023-07-13 14:10:00+05:30,19449.35,19449.35,,-75.05,54,SL
2023-08-14,long,2023-08-14 13:35:00+05:30,19389.8,2023-08-14 15:25:00+05:30,19413.65,19258.2,,23.85,23,EOD
2023-08-22,long,2023-08-22 09:45:00+05:30,19441.1,2023-08-22 09:50:00+05:30,19390.05,19390.05,,-51.05,2,SL
2023-08-23,long,2023-08-23 12:35:00+05:30,19450.2,2023-08-23 15:25:00+05:30,19441.55,19387.2,,-8.65,35,EOD
2023-08-24,long,2023-08-24 09:45:00+05:30,19568.25,2023-08-24 10:55:00+05:30,19510.15,19510.15,,-58.1,15,SL
2023-09-01,long,2023-09-01 09:45:00+05:30,19318.75,2023-09-01 15:25:00+05:30,19423.35,19258.15,,104.6,69,EOD
2023-09-04,long,2023-09-04 14:40:00+05:30,19526.8,2023-09-04 15:25:00+05:30,19535.4,19466.9,,8.6,10,EOD
2023-10-18,long,2023-10-18 10:00:00+05:30,19824.45,2023-10-18 10:45:00+05:30,19774.8,19774.8,,-49.65,10,SL
2023-10-19,long,2023-10-19 09:50:00+05:30,19573.05,2023-10-19 15:25:00+05:30,19611.9,19512.35,,38.85,68,EOD
2023-11-10,long,2023-11-10 10:30:00+05:30,19366.0,2023-11-10 15:25:00+05:30,19443.45,19329.45,,77.45,60,EOD
2023-11-15,long,2023-11-15 13:10:00+05:30,19653.35,2023-11-15 15:25:00+05:30,19676.8,19579.65,,23.45,28,EOD
2023-11-22,long,2023-11-22 09:50:00+05:30,19812.7,2023-11-22 11:50:00+05:30,19767.15,19767.15,,-45.55,25,SL
2023-11-28,long,2023-11-28 14:20:00+05:30,19848.05,2023-11-28 15:25:00+05:30,19908.45,19806.3,,60.4,14,EOD
2023-11-29,long,2023-11-29 09:45:00+05:30,20008.15,2023-11-29 15:25:00+05:30,20096.2,19956.3,,88.05,69,EOD
2023-12-14,long,2023-12-14 09:45:00+05:30,21148.45,2023-12-14 15:25:00+05:30,21195.25,21074.45,,46.8,69,EOD
2024-01-09,long,2024-01-09 10:15:00+05:30,21673.65,2024-01-09 14:20:00+05:30,21602.35,21602.35,,-71.3,50,SL
2024-01-10,long,2024-01-10 09:45:00+05:30,21564.5,2024-01-10 15:25:00+05:30,21625.4,21448.65,,60.9,69,EOD
